career,description,required_skills
AI Engineer,"Design and develop artificial intelligence systems","Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,NLP,Git"
Data Scientist,"Analyze data and build predictive models","Python,SQL,Statistics,Machine Learning,Pandas,NumPy,Data Visualization"
Machine Learning Engineer,"Develop and deploy machine learning models","Python,Machine Learning,Scikit-learn,TensorFlow,PyTorch,Git,Docker"
Data Analyst,"Analyze business data and create reports","Python,SQL,Excel,Statistics,Power BI,Tableau,Data Visualization"
Data Engineer,"Build data pipelines and manage large datasets","Python,SQL,ETL,Apache Spark,Hadoop,AWS,Data Warehousing"
NLP Engineer,"Develop natural language processing applications","Python,NLP,NLTK,spaCy,Transformers,Deep Learning,TensorFlow"
Web Developer,"Build and maintain websites and web applications","HTML,CSS,JavaScript,React,Python,Flask,Git"
Frontend Developer,"Develop user interfaces for web applications","HTML,CSS,JavaScript,React,TypeScript,Git"
Backend Developer,"Develop server side applications and APIs","Python,Flask,FastAPI,SQL,REST API,Git,Docker"
Full Stack Developer,"Develop both frontend and backend web applications","HTML,CSS,JavaScript,React,Python,Flask,SQL,Git"
Cloud Engineer,"Design and maintain cloud infrastructure","AWS,Azure,Linux,Docker,Kubernetes,Python,Networking"
DevOps Engineer,"Automate software development and deployment processes","Linux,Docker,Kubernetes,Jenkins,AWS,Git,Python"
Cybersecurity Analyst,"Protect systems and networks from security threats","Networking,Linux,Cybersecurity,Python,SIEM,Ethical Hacking"
Database Administrator,"Manage and maintain organizational databases","SQL,MySQL,PostgreSQL,Oracle,Database Administration,Linux"
Business Analyst,"Analyze business requirements and support decision making","SQL,Excel,Power BI,Tableau,Statistics,Communication"
Data Visualization Specialist,"Create visual representations of complex data","Python,Tableau,Power BI,Excel,SQL,Data Visualization"
AI Research Scientist,"Research and develop advanced artificial intelligence techniques","Python,Machine Learning,Deep Learning,Mathematics,Statistics,PyTorch,TensorFlow"
Computer Vision Engineer,"Develop systems that understand images and videos","Python,OpenCV,Computer Vision,Deep Learning,TensorFlow,PyTorch"
Software Developer,"Design and develop software applications","Python,Java,C++,Data Structures,Algorithms,Git,SQL"
Software Engineer,"Build reliable and scalable software systems","Python,Java,C++,Data Structures,Algorithms,Git,SQL"
Mobile App Developer,"Develop applications for mobile devices","Java,Kotlin,Android,Flutter,Dart,Git,REST API"
Android Developer,"Develop applications for Android devices","Java,Kotlin,Android Studio,SQLite,REST API,Git"
UI UX Designer,"Design user interfaces and user experiences","Figma,Adobe XD,UI Design,UX Design,Prototyping,Communication"
Product Manager,"Plan and manage software products","Product Management,Agile,Scrum,Communication,Analytics,Leadership"
Project Manager,"Plan and manage technology projects","Project Management,Agile,Scrum,JIRA,Communication,Leadership"
Network Engineer,"Design and maintain computer networks","Networking,Cisco,Linux,CCNA,Routing,Switching,Security"
System Administrator,"Manage computer systems and servers","Linux,Windows Server,Networking,Python,Cloud,Security"
Ethical Hacker,"Identify and fix vulnerabilities in computer systems","Cybersecurity,Python,Linux,Ethical Hacking,Networking,Penetration Testing"
Cloud Architect,"Design large scale cloud computing solutions","AWS,Azure,Cloud Architecture,Docker,Kubernetes,Networking,Security"
MLOps Engineer,"Deploy and maintain machine learning systems","Python,Machine Learning,Docker,Kubernetes,Git,AWS,CI/CD"
Research Analyst,"Conduct research and analyze quantitative information","Research,Statistics,Python,SQL,Data Analysis,Communication"
